Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Natural Language Processing for Requirements Elicitation and Analysis: A Systematic Literature Review of Techniques and Tools,Programming and Computer Software,,,,10.1134/S0361768825700604,María José Torres-IgartuaÁngel J. Sánchez-GarcíaJorge Octavio Ocharán-HernándezSodel Vázquez-Reyes,2025,https://link.springer.com/article/10.1134/S0361768825700604,Article
Natural Language Processing for Requirements Traceability,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_4,Jin L. C. GuoJan-Philipp SteghöferAndreas VogelsangJane Cleland-Huang,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_4,Chapter
"Applying Large Language Models to Software Development: Enhancing Requirements, Design and Code","New Trends in Disruptive Technologies, Tech Ethics and Artificial Intelligence",,,,10.1007/978-3-031-99474-6_20,Gonçalo SantosClara SilveiraVitor SantosArnaldo SantosHenrique Mamede,2025,https://link.springer.com/chapter/10.1007/978-3-031-99474-6_20,Conference paper
LLM4Model: Automated Requirements Specification Model Authoring,Intelligent Information Systems,,,,10.1007/978-3-031-94590-8_16,Asha RajbhojAkanksha SomaseTanay SantSushant ValeVinay Kulkarni,2025,https://link.springer.com/chapter/10.1007/978-3-031-94590-8_16,Conference paper
ARIA-QA: AI-agent based requirements inspection and analysis through question answering,Innovations in Systems and Software Engineering,,,,10.1007/s11334-024-00589-8,Chitrak BiswasSouvick Das,2024,https://link.springer.com/article/10.1007/s11334-024-00589-8,Article
A Tertiary Study on&#xa0;AI for&#xa0;Requirements Engineering,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-57327-9_10,Ali MehrajZheying ZhangKari Systä,2024,https://link.springer.com/chapter/10.1007/978-3-031-57327-9_10,Conference paper
Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools,Software and Systems Modeling,,,,10.1007/s10270-024-01176-y,Fatma BozyigitTolgahan BardakciAlireza KhalilipourMoharram ChallengerGuus RamackersÖnder BaburMichel R. V. Chaudron,2024,https://link.springer.com/article/10.1007/s10270-024-01176-y,Article
A design science research approach to Large Language Model-Based Agents for Requirements Specification (LLMBA4RS) in low-code applications,Requirements Engineering,,,,10.1007/s00766-025-00450-9,Cristian RotarQingyu Zhang,2025,https://link.springer.com/article/10.1007/s00766-025-00450-9,Article
Exploring LLM-Based Data Synthesis Strategies for Aligning Medical Consultation Preferences,Journal of Computer Science and Technology,,,,10.1007/s11390-025-4929-7,Cheng-Feng DouYing ZhangZhi JinWen-Pin JiaoHai-Yan ZhaoYong-Qiang ZhaoZheng-Wei Tao,2025,https://link.springer.com/article/10.1007/s11390-025-4929-7,Article
ReqNet: an LLM-driven computational framework for automated requirements extraction from unstructured documents,Complex & Intelligent Systems,,,,10.1007/s40747-025-02143-w,Summra SaleemMuhammad Nabeel AsimAndreas Dengel,2025,https://link.springer.com/article/10.1007/s40747-025-02143-w,Article
SQL Autograder: Web-based LLM-powered Autograder for Assessment of SQL Queries,International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-025-00460-2,Karan ManikaniRadhika ChapaneriDharmik ShettyDivyata Shah,2025,https://link.springer.com/article/10.1007/s40593-025-00460-2,Article
Leveraging Requirements Elicitation through Software Requirement Patterns and&#xa0;LLMs,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-88531-0_19,Xavier FranchStefania GnesiFederico PaccosiCarme QuerLaura Semini,2025,https://link.springer.com/chapter/10.1007/978-3-031-88531-0_19,Conference paper
Software Requirements Analysis and&#xa0;Specification,A Concise Introduction to Software Engineering,,,,10.1007/978-3-031-74318-4_3,Pankaj Jalote,2025,https://link.springer.com/chapter/10.1007/978-3-031-74318-4_3,Chapter
Requirements Traceability Link Recovery via&#xa0;Retrieval-Augmented Generation,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-88531-0_27,Tobias HeyDominik FuchßJan KeimAnne Koziolek,2025,https://link.springer.com/chapter/10.1007/978-3-031-88531-0_27,Conference paper
”My AI is Lying to Me”: User-reported LLM hallucinations in AI mobile apps reviews,Scientific Reports,,,,10.1038/s41598-025-15416-8,Rhodes MassenonIshaya GamboJaved Ali KhanChristopher AgbonkheseAyed Alwadain,2025,https://link.springer.com/article/10.1038/s41598-025-15416-8,Article
Large Language Model Agents,Engineering Information Systems with Large Language Models,,,,10.1007/978-3-031-92285-5_8,Jerin George MathewJacopo Rossi,2025,https://link.springer.com/chapter/10.1007/978-3-031-92285-5_8,Chapter
"Large Language Model Assisted Software Engineering: Prospects, Challenges, and&#xa0;a&#xa0;Case Study",Bridging the Gap Between AI and Reality,,,,10.1007/978-3-031-46002-9_23,Lenz BelznerThomas GaborMartin Wirsing,2024,https://link.springer.com/chapter/10.1007/978-3-031-46002-9_23,Conference paper
Investigating LLMs Potential in Software Requirements Evaluation,AI-Driven: Social Media Analytics and Cybersecurity,,,,10.1007/978-3-031-80334-5_18,Najlaa AlsaediAhlam AlsaediAmjad AlmaghathawiMai AlshanqitiAbdul Ahad Siddiqi,2025,https://link.springer.com/chapter/10.1007/978-3-031-80334-5_18,Chapter
Requirements Engineering Using Generative AI: Prompts and Prompting Patterns,Generative AI for Effective Software Development,,,,10.1007/978-3-031-55642-5_5,Krishna RonankiBeatriz Cabrero-DanielJennifer HorkoffChristian Berger,2024,https://link.springer.com/chapter/10.1007/978-3-031-55642-5_5,Chapter
Advancing Requirements Engineering Through Generative AI: Assessing the Role of LLMs,Generative AI for Effective Software Development,,,,10.1007/978-3-031-55642-5_6,Chetan AroraJohn GrundyMohamed Abdelrazek,2024,https://link.springer.com/chapter/10.1007/978-3-031-55642-5_6,Chapter
Using ChatGPT in&#xa0;Requirements Engineering Processes: Preliminary Report,Artificial Intelligence-Empowered Software Engineering 2024,,,,10.1007/978-3-031-98410-5_25,Motoshi Saeki,2025,https://link.springer.com/chapter/10.1007/978-3-031-98410-5_25,Conference paper
NeOn-GPT: A Large Language Model-Powered Pipeline for&#xa0;Ontology Learning,The Semantic Web: ESWC 2024 Satellite Events,,,,10.1007/978-3-031-78952-6_4,Nadeen FathallahArunav DasStefano De GiorgisAndrea PoltronieriPeter HaaseLiubov Kovriguina,2025,https://link.springer.com/chapter/10.1007/978-3-031-78952-6_4,Conference paper
Using Large Language Models for Natural Language Processing Tasks in Requirements Engineering: A Systematic Guideline,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_16,Andreas VogelsangJannik Fischbach,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_16,Chapter
Collaborative LLM agents for flexible software development of intelligent industrial robot control systems,Complex & Intelligent Systems,,,,10.1007/s40747-025-02051-z,Kezhou ChenTao WangMingzhe NiLianglun ChengZhuowei WangChong Chen,2025,https://link.springer.com/article/10.1007/s40747-025-02051-z,Article
SimAC: simulating agile collaboration to generate acceptance criteria in user story elaboration,Automated Software Engineering,,,,10.1007/s10515-024-00448-7,Yishu LiJacky KeungZhen YangXiaoxue MaJingyu ZhangShuo Liu,2024,https://link.springer.com/article/10.1007/s10515-024-00448-7,Article
Early Results of&#xa0;an&#xa0;AI Multiagent System for&#xa0;Requirements Elicitation and&#xa0;Analysis,Product-Focused Software Process Improvement,,,,10.1007/978-3-031-78386-9_20,Malik Abdul SamiMuhammad WaseemZheying ZhangZeeshan RasheedKari SystäPekka Abrahamsson,2025,https://link.springer.com/chapter/10.1007/978-3-031-78386-9_20,Conference paper
A Review and&#xa0;Comparison of&#xa0;Competency Question Engineering Approaches,Knowledge Engineering and Knowledge Management,,,,10.1007/978-3-031-77792-9_17,Reham AlharbiValentina TammaFloriana GrassoTerry R. Payne,2025,https://link.springer.com/chapter/10.1007/978-3-031-77792-9_17,Conference paper
Handbook on Natural Language Processing for Requirements Engineering: Overview,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_1,Alessio FerrariGouri Ginde,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_1,Chapter
Prompt Me: Intelligent Software Agent for&#xa0;Requirements Engineering - A Vision Paper,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-88531-0_17,Jacek DąbrowskiAmel BennaceurGopi Krishnan RajbahadurBashar NuseibehFaeq Alrimawi,2025,https://link.springer.com/chapter/10.1007/978-3-031-88531-0_17,Conference paper
Are prompts all you need? Evaluating prompt-based Large Language Models (LLM)s for software requirements classification,Requirements Engineering,,,,10.1007/s00766-025-00451-8,Manal BinkhonainReem Alfayez,2025,https://link.springer.com/article/10.1007/s00766-025-00451-8,Article
APBench and benchmarking large language model performance in fundamental astrodynamics problems for space engineering,Scientific Reports,,,,10.1038/s41598-025-91150-5,Di WuRaymond ZhangEnrico M. ZucchelliYongchao ChenRichard Linares,2025,https://link.springer.com/article/10.1038/s41598-025-91150-5,Article
ReqGenie: GPT-Powered Conversational-AI for&#xa0;Requirements Elicitation,Product-Focused Software Process Improvement,,,,10.1007/978-3-031-78386-9_25,Farnaz FotrousiTheocharis Tavantzis,2025,https://link.springer.com/chapter/10.1007/978-3-031-78386-9_25,Conference paper
An empirical study on LLM-based classification of requirements-related provisions in food-safety regulations,Empirical Software Engineering,,,,10.1007/s10664-025-10619-z,Shabnam HassaniMehrdad SabetzadehDaniel Amyot,2025,https://link.springer.com/article/10.1007/s10664-025-10619-z,Article
Synthline: A Product Line Approach for Synthetic Requirements Engineering Data Generation Using Large Language Models,Research Challenges in Information Science,,,,10.1007/978-3-031-92474-3_13,Abdelkarim El-HajjamiCamille Salinesi,2025,https://link.springer.com/chapter/10.1007/978-3-031-92474-3_13,Conference paper
Automating Industrial Quality Control: A Multimodal LLM and&#xa0;RAG Framework for&#xa0;Anomaly Detection,Artificial Intelligence Applications and Innovations,,,,10.1007/978-3-031-96235-6_19,Filippo BianchiniMarco CalamoMatteo MarinacciJacopo RossiMassimo Mecella,2025,https://link.springer.com/chapter/10.1007/978-3-031-96235-6_19,Conference paper
Semi-Automatic Building of Ontologies from Unstructured French Texts: Industrial Case Study,Data Science and Engineering,,,,10.1007/s41019-025-00284-z,Emna AmdouniAbdelhadi BelfadelMaxence GagnantIsabelle RenaultSamuel KierszbaumJeremy CarrionMatthieu DussartreSana Tmar,2025,https://link.springer.com/article/10.1007/s41019-025-00284-z,Article
Could a Large Language Model Contribute Significantly to Requirements Analysis?,"Enterprise, Business-Process and Information Systems Modeling",,,,10.1007/978-3-031-61007-3_19,Steven Alter,2024,https://link.springer.com/chapter/10.1007/978-3-031-61007-3_19,Conference paper
Dealing with Data for RE: Mitigating Challenges While Using NLP and Generative AI,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_17,Smita GhaisasAnmol Singhal,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_17,Chapter
Automatic user story generation: a comprehensive systematic literature review,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00567-0,Carlos Alberto dos SantosKevin BouchardBianca Minetto Napoleão,2024,https://link.springer.com/article/10.1007/s41060-024-00567-0,Article
LLM-Enhanced SysML Formal Method for Flanking Protection in Train Autonomous Control System,The Proceedings of 2024 International Conference on Artificial Intelligence and Autonomous Transportation,,,,10.1007/978-981-96-3965-6_47,Qian XuLei ZhangTengfei LiXiaoyong Wang,2025,https://link.springer.com/chapter/10.1007/978-981-96-3965-6_47,Conference paper
Improving the Multi-Class Classification of Non-Functional Requirements in Spanish: A Study of Dataset Balancing and Performance,Empirical Software Engineering,,,,10.1007/s10664-025-10736-9,M. Limaylla-LunarejoN. Condori-FernandezM. Rodríguez LuacesO. Karras,2025,https://link.springer.com/article/10.1007/s10664-025-10736-9,Article
Automated Requirements Terminology Extraction,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_6,Jianzhang ZhangNan Niu,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_6,Chapter
Enhancing TrUStAPIS Methodology in&#xa0;the&#xa0;Web of&#xa0;Things with&#xa0;LLM-Generated IoT Trust Semantics,Information and Communications Security,,,,10.1007/978-981-97-8798-2_7,Davide FerrarisKonstantinos KotisChristos Kalloniatis,2025,https://link.springer.com/chapter/10.1007/978-981-97-8798-2_7,Conference paper
Enhancing Software Requirements Quality: Ambiguity Detection and&#xa0;Resolution Using Large Language Models,Computational Science and Computational Intelligence,,,,10.1007/978-3-031-95127-5_25,Ankit RajMuhammad Abdul Basit Ur RahimShahid HussainIlmaan Zia,2025,https://link.springer.com/chapter/10.1007/978-3-031-95127-5_25,Conference paper
Large Language Model XAI approach for illicit activity Investigation in Bitcoin,Neural Computing and Applications,,,,10.1007/s00521-024-10510-w,Jack NichollsAditya KuppaNhien-An Le-Khac,2024,https://link.springer.com/article/10.1007/s00521-024-10510-w,Article
Investigating the&#xa0;Relationship Between Quality and&#xa0;Prompt Specificity in&#xa0;Source Code Generation by&#xa0;LLM,Computer and Information Science and Engineering,,,,10.1007/978-3-031-82606-1_7,Leon NomotoHironori Takuma,2025,https://link.springer.com/chapter/10.1007/978-3-031-82606-1_7,Chapter
Practical Guidelines for the Selection and Evaluation of Natural Language Processing Techniques in Requirements Engineering,Handbook on Natural Language Processing for Requirements Engineering,,,,10.1007/978-3-031-73143-3_15,Mehrdad SabetzadehChetan Arora,2025,https://link.springer.com/chapter/10.1007/978-3-031-73143-3_15,Chapter
Parsing Requirements for Automatic Prompting of Large Language Models for Requirements Validation,Intelligent Computing,,,,10.1007/978-3-031-92611-2_1,Daniel DavisMariofanna Milanova,2025,https://link.springer.com/chapter/10.1007/978-3-031-92611-2_1,Conference paper
Implementation of an AI-powered digital assistant to support space system engineering activities,CEAS Space Journal,,,,10.1007/s12567-025-00670-3,Paloma Maestro RedondoGérald GarciaAnnalisa RiccardiPaul DarmJaime Bernar Jiménez EguizabalAntoine ThéateSam GerenéAlberto González FernándezGwendolyn Kolfschoten,2025,https://link.springer.com/article/10.1007/s12567-025-00670-3,Article
Requirements management methods and practices for improving the quality of agile software development processes: a review of the literature,Requirements Engineering,,,,10.1007/s00766-025-00448-3,Gabriela Patricia TomaselliNoelia Soledad PintoCésar Acuña,2025,https://link.springer.com/article/10.1007/s00766-025-00448-3,Article
Leveraging encoder-only large language models for mobile app review feature extraction,Empirical Software Engineering,,,,10.1007/s10664-025-10660-y,Quim MotgerAlessio MiaschiFelice Dell’OrlettaXavier FranchJordi Marco,2025,https://link.springer.com/article/10.1007/s10664-025-10660-y,Article
Towards Automated Recovery of&#xa0;Links Between Code Commits and Requirements–Initial Results,Product-Focused Software Process Improvement,,,,10.1007/978-3-031-78386-9_29,Risha ParveenAli MehrajZheying ZhangKari SystäTerhi Kilamo,2025,https://link.springer.com/chapter/10.1007/978-3-031-78386-9_29,Conference paper
Exploring Large Language Models in Information Systems: A Survey,Engineering Information Systems with Large Language Models,,,,10.1007/978-3-031-92285-5_5,Filippo BianchiniMatteo Marinacci,2025,https://link.springer.com/chapter/10.1007/978-3-031-92285-5_5,Chapter
