Code,Name,Description,Reference,Year,URL,License,Artifact type,Granularity,RE stage,Task,Domain,Size,Languages,Labels,Extends,Publications
D001,Acharya2024,"Bugzilla bug reports gathered from June 2015 through December 2023, annotated with priority and severity labels.","Acharya, J., & Ginde, G. (2024). Graph Neural Network vs. Large Language Model: A Comparative Analysis for Bug Report Priority and Severity Prediction [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10892319",2024,https://zenodo.org/records/10892319,Creative Commons Attribution Share Alike 4.0 International,Bug,Document,verification & validation,classification,software,452257,en,"P1,P2,P3,P4,P5;Normal,S3,S4,Critical",-,P074
D002,AeroReqEval,QA pairs across tasks and formulas for understanding of aerospace software requirements.,"Yang, L., Luo, Y., Gao, H., Fan, Y., Zhang, J., Li, X., Dong, X., Gu, B., Jin, Z., & Yang, M. (2025). Evaluating large language models for requirements question answering in industrial aerospace software. In Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering (FSE Companion ’25) (pp. 366–377). Association for Computing Machinery. https://doi.org/10.1145/3696630.3728560",2025,https://anonymous.4open.science/r/AeroReqEval-19BD,None,QA,Pair,analysis,Q&A,aerospace,6696,en,-,-,P009
D003,AutoFactory,Manufacturing requirements labelled with BIO tags to extract key components and support PLC code generation,"Boudribila, A., Tajer, A., & Boulghasoul, Z. (2025). AutoFactory dataset to support AI in manufacturing systems. Data in Brief, 62, 111938. https://doi.org/10.1016/j.dib.2025.111938",2025,https://huggingface.co/datasets/boudribila/AutoFactory,None,Requirements,Token,specification,classification,manufacturing,279830,en,"Actuator,Pre-actuator,Sensor,Defector,Other",-,P026
D004,AWARE,"App reviews annotated with aspect terms, categories, and sentiments","Nouf Alturaief, Hamoud Aljamaan, & Malak Baslyman. (2021). AWARE: Dataset for Aspect-Based Sentiment Analysis of Apps Reviews (1.0.0) [Data set]. 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW). Zenodo. https://doi.org/10.5281/zenodo.5528481",2021,https://zenodo.org/records/5528481,Creative Commons Attribution 4.0 International,User reviews,Sentence,verification & validation,classification,software,11482,en,-,-,P093
D005,Azeem2023,Data processing agreements (DPAs) sentences annotated with GDPR provisions (P1...P19),"Azeem, M.I., Abualhaija, S. A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs. Empir Software Eng 29, 96 (2024). https://doi.org/10.1007/s10664-024-10491-3",2023,https://figshare.com/s/77338e558ffb6adf6f55,Creative Commons Attribution Share Alike 4.0 International,Legal text,Sentence,verification & validation,classification,multiple,31185,en,"Provision 1, Provision 2, Provision 3, Provision 4, Provision 5, Provision 6, Provision 7, Provision 8, Provision 9, Provision 10, Provision 11, Provision 12, Provision 13, Provision 14, Provision 15, Provision 16, Provision 17, Provision 18, Provision 19",-,P075
D006,Bozygit2024,"Functional requirements from various software systems, such as educational, business, and hospitality settings.","Fatma Bozyigit, Tolgahan Bardakci, Alireza Khalilipour, Moharram Challenger, Guus Ramackers, Onder Babur, Michel R. V. Chaudron (2023). Dataset for: Text Requirements to Models. IEEE Dataport. https://dx.doi.org/10.21227/r9j6-nd62",2023,https://ieee-dataport.org/documents/dataset-text-requirements-models,None,Requirements,Document,analysis,extraction,multiple,120,en,-,D046,P065
D007,Bragilovski2024,User stories dataset from three collections from online repositories classified according to project-specific knowledge.,"Bragilovski, M., van Can, A. T., Dalpiaz, F., & Sturm, A. (2024). Material of the paper ""Deriving Domain Models from User Stories: Human vs. Machines"" [Data set]. Zenodo. https://doi.org/10.5281/zenodo.12740518",2024,https://zenodo.org/records/12740518,Creative Commons Attribution Share Alike 4.0 International,User stories,Document,specification,modelling,multiple,487,en,-,-,"P013,P112"
D008,Bugzilla_conflicts,"Post pairs from Bugzilla labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Post,Pair,management,traceability,software,4090,en,"Neutral,Conflict",-,P005
D009,CCHIT,Cross-level requirements dataset for traceability tasks from the Certification Commission for Healthcare Information Technology healthcare project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/CCHIT.csv,None,Requirements,Pair,management,traceability,healthcare,252,en,"Positive,Negative",-,"P049,P058,P116"
D010,CM1,Cross-level requirements dataset for traceability tasks from the CM1 aerospace project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/CM1Dataset.csv,None,Requirements,Pair,management,traceability,aerospace,671,en,"Positive,Negative",-,"P049,P058,P116"
